Gender Rank,Occupation,Gender,Individuals,Average Taxable Income $,,,,
391,Announcer – radio; Disc jockey – other than nightclub; Newsreader – radio; Radio announcer; Radio presenter,Female,529,"57,658",,,,
363,Announcer – radio; Disc jockey – other than nightclub; Newsreader – radio; Radio announcer; Radio presenter,Male,"1,129","75,167",,,,
733,Antique dealer,Female,23,"39,309",,,,
874,Antique dealer,Male,70,"41,229",,,,
816,Apiarist,Female,37,"35,054",,,,
890,Apiarist,Male,221,"40,320",,,,
762,Apparel cutter,Female,53,"38,096",,,,
860,Apparel cutter,Male,57,"42,189",,,,
132,Applications programmer; Computer programmer; Developer programmer; Systems programmer – computing,Female,"5,059","80,257",,,,
206,Applications programmer; Computer programmer; Developer programmer; Systems programmer – computing,Male,"23,875","93,411",,,,
958,Apprentice or trainee – agricultural technician,Female,40,"29,603",,,,
983,Apprentice or trainee – agricultural technician,Male,288,"33,811",,,,
917,Apprentice or trainee – airconditioning and refrigeration mechanic,Female,14,"31,574",,,,
960,Apprentice or trainee – airconditioning and refrigeration mechanic,Male,"2,395","35,643",,,,
921,Apprentice or trainee – aircraft maintenance engineer,Female,20,"31,379",,,,
895,Apprentice or trainee – aircraft maintenance engineer,Male,395,"39,995",,,,
932,Apprentice or trainee – animal attendant,Female,53,"30,942",,,,
1010,Apprentice or trainee – animal attendant,Male,23,"31,701",,,,
441,Apprentice or trainee – autoglazier,Female,3,"54,397",,,,
963,Apprentice or trainee – autoglazier,Male,138,"35,143",,,,
947,Apprentice or trainee – automotive Apprentice or trainee – other,Female,83,"30,108",,,,
1002,Apprentice or trainee – automotive Apprentice or trainee – other,Male,"2,517","32,491",,,,
671,Apprentice or trainee – automotive electrician,Female,44,"42,228",,,,
919,Apprentice or trainee – automotive electrician,Male,968,"37,897",,,,
955,Apprentice or trainee – automotive mechanic,Female,260,"29,842",,,,
1013,Apprentice or trainee – automotive mechanic,Male,"8,997","31,585",,,,
985,Apprentice or trainee – baker or pastrycook,Female,515,"28,219",,,,
1048,Apprentice or trainee – baker or pastrycook,Male,"1,277","28,157",,,,
1038,Apprentice or trainee – beauty therapist,Female,279,"25,066",,,,
1098,Apprentice or trainee – beauty therapist,Male,6,"20,771",,,,
1010,Apprentice or trainee – boat builder or shipwright,Female,4,"26,508",,,,
1018,Apprentice or trainee – boat builder or shipwright,Male,186,"31,113",,,,
848,Apprentice or trainee – bricklayer,Female,5,"34,039",,,,
1077,Apprentice or trainee – bricklayer,Male,"1,220","25,347",,,,
1053,Apprentice or trainee – business services,Female,579,"24,169",,,,
1030,Apprentice or trainee – business services,Male,284,"29,821",,,,
912,Apprentice or trainee – butcher,Female,110,"31,723",,,,
1026,Apprentice or trainee – butcher,Male,"1,662","29,995",,,,
815,Apprentice or trainee – canvas and leather tradesperson,Female,3,"35,141",,,,
1027,Apprentice or trainee – canvas and leather tradesperson,Male,16,"29,980",,,,
979,Apprentice or trainee – care and community services,Female,301,"28,444",,,,
1003,Apprentice or trainee – care and community services,Male,77,"32,369",,,,
1009,Apprentice or trainee – carpenter and joiner,Female,129,"26,523",,,,
1039,Apprentice or trainee – carpenter and joiner,Male,"15,766","29,252",,,,
998,Apprentice or trainee – chef,Female,"2,337","27,564",,,,
1060,Apprentice or trainee – chef,Male,"4,382","27,290",,,,
1037,Apprentice or trainee – cleaning services,Female,463,"25,116",,,,
1050,Apprentice or trainee – cleaning services,Male,481,"28,098",,,,
823,Apprentice or trainee – clerical services,Female,757,"34,880",,,,
981,Apprentice or trainee – clerical services,Male,227,"33,933",,,,
1015,Apprentice or trainee – clothing tradesperson,Female,10,"26,344",,,,
1087,Apprentice or trainee – clothing tradesperson,Male,5,"24,092",,,,
1040,Apprentice or trainee – cook,Female,132,"24,967",,,,
1068,Apprentice or trainee – cook,Male,233,"26,118",,,,
721,Apprentice or trainee – deck or fishing hand,Female,13,"39,883",,,,
825,Apprentice or trainee – deck or fishing hand,Male,78,"44,373",,,,
572,Apprentice or trainee – electrician,Female,481,"47,354",,,,
893,Apprentice or trainee – electrician,Male,"19,182","40,108",,,,
741,Apprentice or trainee – electronics tradesperson,Female,26,"38,909",,,,
886,Apprentice or trainee – electronics tradesperson,Male,634,"40,504",,,,
1077,Apprentice or trainee – farm or garden worker,Female,29,"21,565",,,,
1067,Apprentice or trainee – farm or garden worker,Male,178,"26,151",,,,
867,Apprentice or trainee – financial services,Female,240,"33,245",,,,
887,Apprentice or trainee – financial services,Male,154,"40,439",,,,
1045,Apprentice or trainee – floor finisher,Male,182,"28,801",,,,
1066,Apprentice or trainee – florist,Female,127,"22,983",,,,
1103,Apprentice or trainee – florist,Male,3,"18,100",,,,
1054,"Apprentice or trainee – food, drink or meat processor",Female,65,"24,077",,,,
1046,"Apprentice or trainee – food, drink or meat processor",Male,71,"28,770",,,,
948,Apprentice or trainee – forestry,Female,3,"30,065",,,,
1001,Apprentice or trainee – forestry,Male,29,"32,503",,,,
972,Apprentice or trainee – gardener,Female,57,"28,766",,,,
1064,Apprentice or trainee – gardener,Male,837,"26,744",,,,
964,Apprentice or trainee – greenkeeper,Female,6,"29,167",,,,
1056,Apprentice or trainee – greenkeeper,Male,544,"27,822",,,,
1061,Apprentice or trainee – hair dresser,Female,"3,589","23,326",,,,
1094,Apprentice or trainee – hair dresser,Male,216,"23,209",,,,
935,Apprentice or trainee – health and welfare support services,Female,286,"30,753",,,,
891,Apprentice or trainee – health and welfare support services,Male,93,"40,235",,,,
1060,Apprentice or trainee – hospitality,Female,272,"23,445",,,,
1085,Apprentice or trainee – hospitality,Male,184,"24,204",,,,
703,Apprentice or trainee – information technology technician,Female,55,"40,844",,,,
969,Apprentice or trainee – information technology technician,Male,316,"34,692",,,,
237,Apprentice or trainee – insurance claims investigator,Female,219,"67,832",,,,
351,Apprentice or trainee – insurance claims investigator,Male,142,"76,627",,,,
906,Apprentice or trainee – jeweller,Female,59,"31,964",,,,
1004,Apprentice or trainee – jeweller,Male,64,"32,062",,,,
715,Apprentice or trainee – jockey,Female,79,"40,421",,,,
635,Apprentice or trainee – jockey,Male,54,"54,834",,,,
711,Apprentice or trainee – justice and legal services ,Female,135,"40,586",,,,
785,Apprentice or trainee – justice and legal services ,Male,65,"46,643",,,,
643,Apprentice or trainee – mechanical trades engineer,Female,114,"43,460",,,,
847,Apprentice or trainee – mechanical trades engineer,Male,"4,441","42,892",,,,
853,Apprentice or trainee – medical technician,Female,51,"33,815",,,,
878,Apprentice or trainee – medical technician,Male,58,"41,031",,,,
752,Apprentice or trainee – metal fabrication engineer,Female,49,"38,498",,,,
956,Apprentice or trainee – metal fabrication engineer,Male,"4,259","35,829",,,,
347,Apprentice or trainee – miner,Female,53,"59,872",,,,
531,Apprentice or trainee – miner,Male,224,"62,935",,,,
1067,Apprentice or trainee – nurseryperson,Female,40,"22,943",,,,
1070,Apprentice or trainee – nurseryperson,Male,69,"25,996",,,,
1020,Apprentice or trainee – painter,Female,80,"26,159",,,,
1079,Apprentice or trainee – painter,Male,"1,170","25,328",,,,
885,Apprentice or trainee – performing arts technician,Female,6,"32,745",,,,
1020,Apprentice or trainee – performing arts technician,Male,20,"30,976",,,,
877,Apprentice or trainee – plasterer,Female,5,"32,934",,,,
1059,Apprentice or trainee – plasterer,Male,899,"27,431",,,,
989,Apprentice or trainee – plumber,Female,54,"28,010",,,,
